"Comunidad.Autónoma";"Provincia";"Gasto.Total.Prestación";"Gasto.Prestación.Contributiva";"Gasto.Subsidio.Desempleo";"Gasto.Renta.Activa.Inserción";"Gasto.Subsidio.Eventuales.Agrarios";"mes";"any"
"Andalucía";"Almería";30548,16;19092;9267,3;1211,55;977,31;"01";"2022"
"Andalucía";"Cádiz";68771,34;39796,12;21590,03;3824,91;3560,28;"01";"2022"
"Andalucía";"Córdoba";39771,04;16123,28;14476,75;1637,02;7533,99;"01";"2022"
"Andalucía";"Granada";45485,71;22585,11;16175,62;2026,97;4698,01;"01";"2022"
"Andalucía";"Huelva";34581,42;20359,11;9698,14;1171,88;3352,29;"01";"2022"
"Andalucía";"Jaén";27959,45;11702,18;9433,14;1151,33;5672,8;"01";"2022"
"Andalucía";"Málaga";77260,7;47773,01;23081,05;3094,98;3311,66;"01";"2022"
"Andalucía";"Sevilla";91500,6;44616,77;31780,92;4031,51;11071,4;"01";"2022"
"Aragón";"Huesca";6764,38;5245,46;1371,78;147,14;0;"01";"2022"
"Aragón";"Teruel";4039,06;2921,1;1049,23;68,73;0;"01";"2022"
"Aragón";"Zaragoza";31872,14;23560,27;7584,2;727,67;0;"01";"2022"
"Asturias, Principado de";"Asturias";33339,64;21933,76;10286,69;1119,19;0;"01";"2022"
"Balears, Illes";"Balears, Illes";137366,74;127041,15;9396,49;929,1;0;"01";"2022"
"Canarias";"Palmas, Las";50065,41;30193,11;17197,17;2675,13;0;"01";"2022"
"Canarias";"Santa Cruz de Tenerife";46195,01;26965,08;16509,77;2720,16;0;"01";"2022"
"Cantabria";"Cantabria";20795,75;14541,28;5649,73;604,74;0;"01";"2022"
"Castilla y León";"Ávila";5401,96;3361,91;1837,44;202,61;0;"01";"2022"
"Castilla y León";"Burgos";12655,63;8890,94;3486,61;278,08;0;"01";"2022"
"Castilla y León";"León";14660,59;9170,54;5031,64;458,41;0;"01";"2022"
"Castilla y León";"Palencia";5234,17;3686,87;1409,89;137,41;0;"01";"2022"
"Castilla y León";"Salamanca";10464,32;6696,59;3391,41;376,32;0;"01";"2022"
"Castilla y León";"Segovia";4590,74;3369,13;1130,11;91,5;0;"01";"2022"
"Castilla y León";"Soria";2751,57;2101,09;602,53;47,95;0;"01";"2022"
"Castilla y León";"Valladolid";15757,34;11383,66;3963,08;410,6;0;"01";"2022"
"Castilla y León";"Zamora";5763,63;3613,57;1969,1;180,96;0;"01";"2022"
"Castilla - La Mancha";"Albacete";15270,04;9382,57;5121,71;765,76;0;"01";"2022"
"Castilla - La Mancha";"Ciudad Real";18071,15;10189,6;6770,34;1111,21;0;"01";"2022"
"Castilla - La Mancha";"Cuenca";5925,98;3800,43;1903,95;221,6;0;"01";"2022"
"Castilla - La Mancha";"Guadalajara";9574,38;6868,32;2468,36;237,7;0;"01";"2022"
"Castilla - La Mancha";"Toledo";25859,93;15807,78;8963,75;1088,4;0;"01";"2022"
"Cataluña";"Barcelona";201803,57;153784,85;44770,41;3248,31;0;"01";"2022"
